iter	Passed	Remaining
714	3168	1262
715	3175	1259
716	3178	1254
717	3181	1249
718	3189	1246
719	3192	1241
720	3199	1238
721	3206	1234
722	3210	1229
723	3213	1225
724	3220	1221
725	3224	1216
726	3228	1212
727	3232	1207
728	3235	1202
729	3243	1199
730	3245	1194
731	3247	1189
732	3255	1185
733	3258	1180
734	3264	1177
735	3267	1172
736	3270	1167
737	3279	1164
738	3280	1158
739	3282	1153
740	3289	1149
741	3297	1146
742	3303	1142
743	3319	1142
744	3323	1137
745	3329	1133
746	3335	1129
747	3348	1128
748	3353	1123
749	3355	1118
750	3362	1114
751	3387	1117
752	3393	1113
753	3399	1109
754	3406	1105
755	3409	1100
756	3417	1096
757	3420	1091
758	3427	1088
759	3431	1083
760	3438	1080
761	3440	1074
762	3448	1071
763	3452	1066
764	3460	1062
765	3461	1057
766	3468	1053
767	3475	1049
768	3483	1046
769	3485	1040
770	3490	1036
771	3493	1031
772	3502	1028
773	3510	1024
774	3518	1021
775	3523	1017
776	3525	1011
777	3532	1008
778	3536	1003
779	3543	999
780	3545	994
781	3553	990
782	3560	986
783	3563	981
784	3569	977
785	3579	974
786	3582	969
787	3589	965
788	3592	960
789	3594	955
790	3602	951
791	3609	947
792	3617	944
793	3620	939
794	3630	936
795	3635	931
796	3643	927
797	3646	923
798	3654	919
799	3657	914
800	3664	910
801	3666	905
802	3674	901
803	3677	896
804	3685	892
805	3688	887
806	3704	886
807	3715	882
808	3729	880
809	3742	877
810	3755	875
811	3763	871
812	3770	867
813	3777	863
814	3784	859
815	3791	855
816	3795	850
817	3799	845
818	3806	841
819	3809	836
820	3825	834
821	3841	831
822	3850	828
823	3856	823
824	3861	819
825	3865	814
826	3876	810
827	3883	806
828	3886	801
829	3894	797
830	3909	795
831	3914	790
832	3921	786
833	3925	781
834	3932	777
835	3936	772
836	3941	767
837	3945	762
838	3952	758
839	3961	754
840	3965	749
841	3971	745
842	3979	741
843	3983	736
844	3988	731
845	3996	727
846	4000	722
847	4006	718
848	4012	713
849	4020	709
850	4024	704
851	4032	700
852	4037	695
853	4043	691
854	4049	686
855	4055	682
856	4062	677
857	4069	673
858	4073	668
859	4081	664
860	4085	659
861	4092	655
862	4099	650
863	4104	646
864	4110	641
865	4119	637
866	4123	632
867	4129	627
868	4136	623
869	4140	618
870	4147	614
871	4154	609
872	4159	605
873	4166	600
874	4171	595
875	4177	591
876	4183	586
877	4189	582
878	4195	577
879	4200	572
880	4206	568
881	4214	563
882	4218	558
883	4224	554
884	4230	549
885	4236	545
886	4243	540
887	4248	535
888	4255	531
889	4259	526
890	4265	521
891	4268	516
892	4271	511
893	4274	506
894	4277	501
895	4279	496
896	4283	491
897	4288	487
898	4290	482
899	4294	477
900	4297	472
901	4300	467
902	4303	462
903	4309	457
904	4313	452
905	4316	447
906	4319	442
907	4322	437
908	4325	433
909	4328	428
910	4331	423
911	4333	418
912	4338	413
913	4341	408
914	4344	403
915	4347	398
916	4350	393
917	4353	388
918	4357	384
919	4360	379
920	4366	374
921	4370	369
922	4379	365
923	4383	360
924	4392	356
925	4397	351
926	4403	346
927	4409	342
928	4416	337
929	4427	333
930	4432	328
931	4440	324
932	4449	319
933	4457	314
934	4461	310
935	4464	305
936	4473	300
937	4479	296
938	4487	291
939	4493	286
940	4496	281
941	4503	277
942	4511	272
943	4517	267
944	4523	263
945	4530	258
946	4533	253
947	4541	249
948	4550	244
949	4556	239
950	4559	234
951	4566	230
952	4574	225
953	4577	220
954	4585	216
955	4589	211
956	4598	206
957	4602	201
958	4611	197
959	4617	192
960	4623	187
961	4631	182
962	4638	178
963	4643	173
964	4648	168
965	4653	163
966	4659	159
967	4666	154
968	4673	149
969	4678	144
970	4688	140
971	4695	135
972	4704	130
973	4720	126
974	4726	121
975	4732	116
976	4738	111
977	4742	106
978	4751	101
979	4755	97
980	4761	92
981	4767	87
982	4771	82
983	4776	77
984	4780	72
985	4785	67
986	4790	63
987	4794	58
988	4805	53
989	4807	48
990	4810	43
991	4812	38
992	4814	33
993	4817	29
994	4819	24
995	4822	19
996	4824	14
997	4832	9
998	4837	4
999	4843	0
